,fold-change person 1,fold-change person 2,fold-change person 3,fold-change person 4
AKR1B1,-0.094251294127533,0.0024526095521824553,-0.08350103490781001,0.00902080699605969
ALDH4A1,-0.3867525124821601,-0.2633612759767025,-0.13770970371217334,0.17555739754438612
CBR1,-0.36522104280779616,-0.27417320973845577,0.02377936926394757,-0.2527965844893953
COMT,-0.1824591704432936,-0.19698768883310427,0.16805866509808934,-0.16504121533566546
DBH,inf,0,0,0
DDC,-0.6214805281708865,inf,0,inf
DHFR,-0.0954117165032987,-0.10900354855599503,0.062274752451378576,0.05623142014462639
DYRK1B,-0.47562966170743154,-0.4624123910600316,0.14690018018537845,-0.07753561203899707
FAH,0.09728795831097994,-0.13811721672106753,0.26793486208909645,0.008501320882877653
FPGS,-0.23499902987217428,-0.22670382202999131,-0.00450837934989969,0.10627210264422177
GART,-0.30173363222567684,-0.20751682109831046,-0.020547619980757714,0.027305268307095506
GGH,0.13011647525871242,0.09396915767749123,0.1160911638121129,0.29761608772144005
GLUD1,-0.3019956092118527,-0.0024716672181355186,0.12797255703189425,-0.07879023710616286
GLUD2,inf,0.032352300689546386,0.27671842067233543,0.4282001975315843
GOT1,0.015461500981896808,-0.280591009565466,-0.056730813853409987,-0.17587112613727635
GPT,-2.2064430288920422,0.4473897999683901,0.4991108420087832,-0.5717998024684156
GPT2,0.0970606146220452,-0.11809257713446042,0.09199880694404315,0.3454891466220288
GSTZ1,0.08451367892747698,0.10137216283646784,0.07248536845472756,0.0695327357504695
HGD,0.03222247344055375,0.31695485988808864,0.7378523345406334,0.18964476778335482
HNF1A,inf,0,0,0
HPD,,,,
MAOA,0.058886834929413726,0.09484986847771358,0.22040427799266057,0.20463856060241914
MAOB,0.3335720657751391,0.20372071900152772,0.8127713209125454,-0.12113839345885045
MDH1,-0.3105799662670751,-0.13732581189430593,-0.06069324297161483,-0.3045531453477072
MTHFD1,-0.2575818778838431,-0.19951689958202265,-0.0909748709176014,-0.009557378247343028
MTHFD1L,0.07575095522520627,-0.18137705368339435,0.1323285113371609,0.1441687104027503
PAH,,,,
PCBD1,-0.17787387669527147,-0.36025994073556294,-0.027093123065703193,-0.22978794949114253
PCBD2,-0.26042064995086733,-0.44489638273135634,0.09829624255348299,0.14651059251136425
PTS,-0.24971573735774133,-0.12735671810641355,-0.18190834715419094,-0.20427122876351614
QDPR,-0.0423081156532433,-0.1256986004644741,0.030496383289377954,0.07324330225675137
SHMT1,-0.8718730171297496,-0.6213229501156239,-0.3248953205989846,-0.4070856572738118
SHMT2,-0.14012719558706915,-0.4210178757498112,0.22871717535496455,0.33653421000977163
SORD,-0.8906671609862753,-0.5999159148099665,0.09285422827214945,0.3898283866590653
SPR,-0.36211710406558933,-0.4802959952157197,0.13086755420888066,0.042826631995054036
TAT,-0.7089433694212255,0.4473897999683904,-0.7232815793276646,-1.223876499048109
TH,0.7935569711079576,0.3098862762184552,inf,-0.3087653966346219
TPH1,-1.151995244869666,1.3098862762184553,-0.5857780555777296,inf
TPH2,inf,0,0,0
TYMS,-0.03407898199831262,-1.6635037915438333,-0.19721276766007698,0.020542228618338064
UAP1L1,-0.0983832830345892,-0.4046341714229422,-0.06723598054502584,-0.36435772259793914
ADSS,-0.11889019637193031,-0.299334292499588,0.019175106775170002,-0.04015804310462635
ADSSL1,0.4153698771640856,-0.08570346083216568,0.01571455006591273,0.15081049872072025
ALPI,,,,
ALPL,-0.41666073628238814,0.4689766621765362,0.2939964121041708,-0.06365289879809043
ALPP,-2.7089433694212257,-0.9606949386686868,0,inf
ALPPL2,inf,inf,0,0
AMPD1,inf,0,0,0
ATIC,0.10473706168613142,-0.1267774977532716,0.24904873332074193,0.11414758844072463
ENPP1,1.156127050492666,-0.33021777869516156,-1.1383190786065085,inf
ENTPD5,0.12938720254024472,0.10060982909310778,0.15562660375497367,-0.053898611920902915
ENTPD6,-0.16097251237786706,0.11871697544768046,0.1363854420618444,0.29632122297552727
GCH1,0.4854346757456257,0.01279003431102864,0.9442840592609459,0.30945392001483496
GCHFR,-0.4117366421839419,-0.8973096025776303,0.18393281721160135,0.06960870266486549
